site_id,postcode,state,timezone_id
1618214000,4209,QLD,Australia/Brisbane
1628514955,4343,QLD,Australia/Brisbane
1635874933,4133,QLD,Australia/Brisbane
1639855210,4064,QLD,Australia/Brisbane
1641507112,4871,QLD,Australia/Brisbane
1643595556,4128,QLD,Australia/Brisbane
1650967179,4343,QLD,Australia/Brisbane
1673814471,4214,QLD,Australia/Brisbane
1688455547,4209,QLD,Australia/Brisbane
1704118180,4019,QLD,Australia/Brisbane
1739245808,4340,QLD,Australia/Brisbane
1755416020,4165,QLD,Australia/Brisbane
1768115669,4209,QLD,Australia/Brisbane
1804501625,4870,QLD,Australia/Brisbane
1807162955,4127,QLD,Australia/Brisbane
1819166341,4800,QLD,Australia/Brisbane
1819347473,4209,QLD,Australia/Brisbane
1821379934,4504,QLD,Australia/Brisbane
1828011983,4012,QLD,Australia/Brisbane
1863760263,4210,QLD,Australia/Brisbane
1866041381,4508,QLD,Australia/Brisbane
1874388346,4551,QLD,Australia/Brisbane
1883623070,4560,QLD,Australia/Brisbane
1888870155,4170,QLD,Australia/Brisbane
1889835205,4573,QLD,Australia/Brisbane
1900158835,4550,QLD,Australia/Brisbane
1921427042,4127,QLD,Australia/Brisbane
1930411016,4560,QLD,Australia/Brisbane
1939847944,4275,QLD,Australia/Brisbane
1944473456,4280,QLD,Australia/Brisbane
1953975853,4655,QLD,Australia/Brisbane
1955590116,4130,QLD,Australia/Brisbane
1959193547,4519,QLD,Australia/Brisbane
1962093762,4207,QLD,Australia/Brisbane
1965574328,4705,QLD,Australia/Brisbane
1976940643,4560,QLD,Australia/Brisbane
1987831832,4300,QLD,Australia/Brisbane
1989356043,4211,QLD,Australia/Brisbane
1989804127,4800,QLD,Australia/Brisbane
1998663327,4350,QLD,Australia/Brisbane
1999038196,4018,QLD,Australia/Brisbane
1999131236,4737,QLD,Australia/Brisbane
2014211888,4500,QLD,Australia/Brisbane
2017515531,4350,QLD,Australia/Brisbane
2029852787,4562,QLD,Australia/Brisbane
2046587705,4799,QLD,Australia/Brisbane
2071709766,4017,QLD,Australia/Brisbane
2073090346,4305,QLD,Australia/Brisbane
2078039670,4285,QLD,Australia/Brisbane
2085202110,4211,QLD,Australia/Brisbane
2092639786,4555,QLD,Australia/Brisbane
2115304985,4053,QLD,Australia/Brisbane
2123143049,4500,QLD,Australia/Brisbane
2134403807,4504,QLD,Australia/Brisbane
2144537561,4133,QLD,Australia/Brisbane
2145408708,4350,QLD,Australia/Brisbane
2147461500,4055,QLD,Australia/Brisbane
10393064,5096,SA,Australia/Adelaide
14300083,5097,SA,Australia/Adelaide
30377998,5290,SA,Australia/Adelaide
32630376,5039,SA,Australia/Adelaide
52070767,5039,SA,Australia/Adelaide
55170123,5070,SA,Australia/Adelaide
55493030,5214,SA,Australia/Adelaide
59605842,5033,SA,Australia/Adelaide
69778927,5018,SA,Australia/Adelaide
69886440,5097,SA,Australia/Adelaide
74986997,5065,SA,Australia/Adelaide
75825052,5084,SA,Australia/Adelaide
77678245,5333,SA,Australia/Adelaide
81362080,5110,SA,Australia/Adelaide
89378912,5214,SA,Australia/Adelaide
102125415,5167,SA,Australia/Adelaide
104606984,5540,SA,Australia/Adelaide
111289092,5120,SA,Australia/Adelaide
114781587,5046,SA,Australia/Adelaide
